Name,Nationality,Overall,Position,Club
L. Pellegrini,Italy,80,CAM,Roma
Pedro Gonçalves,Portugal,83,CAM,Sporting CP
Joelinton,Brazil,82,CM,Newcastle United
Nuno Mendes,Portugal,86,LB,Paris Saint-Germain
R. Lewandowski,Poland,88,ST,FC Barcelona
K. Thuram,France,81,CM,Juventus
I. Perišić,Croatia,81,RW,PSV
B. Mbeumo,Cameroon,85,RW,Manchester United
Y. Tielemans,Belgium,85,CM,Aston Villa
J. Tavernier,England,77,RB,Rangers FC
J. Musiala,Germany,88,CAM,FC Bayern München
Marc Cucurella,Spain,84,LB,Chelsea
L. Torreira,Uruguay,83,CDM,Galatasaray SK
M. Lemina,Gabon,79,CDM,Galatasaray SK
L. Modrić,Croatia,83,CM,AC Milan
F. Kessié,Ivory Coast,80,CDM,Al Ahli SFC
G. Lo Celso,Argentina,82,CAM,Real Betis Balompié
F. Aursnes,Norway,80,CM,SL Benfica
D. Kulusevski,Sweden,83,CM,Tottenham Hotspur
Bernardo Silva,Portugal,84,CM,Manchester City
F. Wirtz,Germany,89,CAM,Liverpool
W. McKennie,United States,78,CM,Juventus
R. Loftus-Cheek,England,80,CM,AC Milan
Sergi Darder,Spain,81,LM,RCD Mallorca
C. Tolisso,France,81,CM,Olympique Lyonnais
M. Brozović,Croatia,81,CDM,Al Nassr
M. De Cuyper,Belgium,80,LB,Brighton & Hove Albion
Q. Timber,Netherlands,80,CM,Feyenoord
C. McGregor,Scotland,79,CDM,Celtic
Douglas Luiz,Brazil,80,CM,Nottingham Forest
Ayoze,Spain,83,ST,Villarreal CF
A. Davies,Canada,84,LB,FC Bayern München
D. Frattesi,Italy,81,CM,Inter
Nuno Santos,Portugal,79,LM,Sporting CP
M. Guendouzi,France,82,CDM,Lazio
M. Caicedo,Ecuador,87,CDM,Chelsea
J. Gvardiol,Croatia,84,LB,Manchester City
A. Zambo Anguissa,Cameroon,82,CM,Napoli
K. Trippier,England,80,RB,Newcastle United
Lucas Paquetá,Brazil,80,CM,West Ham United
Gabriel Sara,Brazil,80,CM,Galatasaray SK
M. Hjulmand,Denmark,83,CDM,Sporting CP
M. Arambarri,Uruguay,80,CM,Getafe CF
D. Maeda,Japan,79,LW,Celtic
E. Haaland,Norway,90,ST,Manchester City
B. Pavard,France,84,CB,Olympique de Marseille
E. Anderson,England,80,CDM,Nottingham Forest
G. Wijnaldum,Netherlands,78,CAM,Al Ettifaq
Marcos Alonso,Spain,79,CB,RC Celta
Aleix García,Spain,83,CM,Bayer 04 Leverkusen
Álex Baena,Spain,84,LM,Atlético Madrid
M. Tillman,United States,82,CAM,Bayer 04 Leverkusen
E. Palacios,Argentina,84,CM,Bayer 04 Leverkusen
R. Zalazar,Uruguay,79,CAM,Sporting Clube de Braga
Carvajal,Spain,85,RB,Real Madrid
Koke,Spain,81,CM,Atlético Madrid
L. Ferguson,Scotland,78,CM,Bologna
R. Ríos,Colombia,79,CM,SL Benfica
G. Di Lorenzo,Italy,83,RB,Napoli
C. Palmer,England,87,CAM,Chelsea
Y. Herrera,Venezuela,81,CM,Real Sociedad
Miguel Gutiérrez,Spain,81,LB,Napoli
Angeliño,Spain,79,LB,Roma
Éderson,Brazil,82,CM,Atalanta
M. Arnold,Germany,79,CDM,VfL Wolfsburg
M. Gibbs-White,England,82,CAM,Nottingham Forest
M. Locatelli,Italy,84,CDM,Juventus
D. Dumfries,Netherlands,84,RB,Inter
L. Digne,France,80,LB,Aston Villa
R. Andrich,Germany,81,CDM,Bayer 04 Leverkusen
A. Tchouaméni,France,84,CDM,Real Madrid
S. Guirassy,Guinea,87,ST,Borussia Dortmund
L. Provod,Czech Republic,78,CAM,SK Slavia Praha
M. Zaccagni,Italy,84,LM,Lazio
M. de Roon,Netherlands,81,CM,Atalanta
R. Skov,Denmark,74,LB,1. FC Union Berlin
Brais Méndez,Spain,81,CM,Real Sociedad
R. Gosens,Germany,80,LB,Fiorentina
Fabián Ruiz,Spain,85,CM,Paris Saint-Germain
G. Hamer,Netherlands,77,LM,Sheffield United
J. Maddison,England,84,CM,Tottenham Hotspur
P. Groß,Germany,80,CDM,Borussia Dortmund
Yuri Berchiche,Spain,79,LB,Athletic Club
R. Guerreiro,Portugal,80,LB,FC Bayern München
K. Laimer,Austria,82,RB,FC Bayern München
Jordi Alba,Spain,78,LB,Inter Miami
D. Olaru,Romania,73,CM,FCSB
M. Rogers,England,82,CAM,Aston Villa
Y. Carrasco,Belgium,81,LW,Al Shabab
D. Doué,France,85,RW,Paris Saint-Germain
M. Thuram,France,85,ST,Inter
D. Raum,Germany,82,LB,RB Leipzig
V. Gyökeres,Sweden,87,ST,Arsenal
G. Sudakov,Ukraine,80,CAM,SL Benfica
Anderson Talisca,Brazil,81,CAM,Fenerbahçe SK
C. Baleba,Cameroon,81,CDM,Brighton & Hove Albion
N. Stanciu,Romania,77,CM,Genoa
X. Simons,Netherlands,84,CAM,Tottenham Hotspur
C. Biraghi,Italy,78,LB,Torino
G. Xhaka,Switzerland,85,CDM,Sunderland
P. Dybala,Argentina,86,CAM,Roma
C. Pulisic,United States,84,RW,AC Milan
L. Advíncula,Peru,75,RB,Boca Juniors
S. Mané,Senegal,83,LM,Al Nassr
Iñaki Williams,Ghana,83,RM,Athletic Club
C. Puertas,Spain,78,CAM,SV Werder Bremen
J. Clauss,France,80,RB,OGC Nice
M. Kerkez,Hungary,82,LB,Liverpool
K. Koné,France,79,CM,Roma
T. Teuma,Malta,75,CAM,Stade de Reims
Mingueza,Spain,80,RB,RC Celta
H. Son,South Korea,85,LW,Los Angeles FC
N. Kanté,France,85,CDM,Al Ittihad
K. Walker,England,79,RB,Burnley
Parejo,Spain,82,CM,Villarreal CF
M. O'Riley,Denmark,78,CAM,Olympique de Marseille
L. Díaz,Colombia,85,LM,FC Bayern München
N. Amiri,Germany,81,CM,1. FSV Mainz 05
M. Kovačić,Croatia,83,CM,Manchester City
F. Ugrinić,Switzerland,75,CM,Valencia CF
O. Pineda,Mexico,77,CAM,AEK Athens
L. Paredes,Argentina,78,CM,Boca Juniors
P. Foden,England,85,RW,Manchester City
Matheus Nunes,Portugal,79,RB,Manchester City
İ. Gündoğan,Germany,83,CM,Galatasaray SK
W. Zaïre-Emery,France,80,CM,Paris Saint-Germain
Luis Milla,Spain,79,CM,Getafe CF
S. Al Dawsari,Saudi Arabia,82,LM,Al Hilal
L. Sučić,Croatia,78,CM,Real Sociedad
R. Malinovskyi,Ukraine,76,CM,Genoa
C. Gakpo,Netherlands,84,LM,Liverpool
Sergio Gómez,Spain,79,LM,Real Sociedad
M. Shaparenko,Ukraine,78,CM,Dynamo Kyiv
Andrey Santos,Brazil,80,CM,Chelsea
Johnny Cardoso,United States,81,CDM,Atlético Madrid
O. Watkins,England,84,ST,Aston Villa
M. Olise,France,86,RM,FC Bayern München
D. Zappacosta,Italy,79,LM,Atalanta
J. Henderson,England,79,CDM,Brentford
Zubimendi,Spain,83,CDM,Arsenal
A. Cambiaso,Italy,79,LB,Juventus
A. Robertson,Scotland,82,LB,Liverpool
F. Mendy,France,81,LB,Real Madrid
D. Muñoz,Colombia,81,RB,Crystal Palace
R. Bensebaini,Algeria,79,LB,Borussia Dortmund
M. Camara,Guinea,74,CM,PAOK
P. Zieliński,Poland,80,CM,Inter
E. Eze,England,83,CAM,Arsenal
Matheus Cunha,Brazil,83,CAM,Manchester United
N. Deossa,Colombia,75,CM,Real Betis Balompié
D. Hancko,Slovakia,83,CB,Atlético Madrid
Isco,Spain,84,CAM,Real Betis Balompié
Ander Herrera,Spain,78,CDM,Boca Juniors
Z. Tripić,Norway,76,RW,Viking FK
Malcom,Brazil,82,CAM,Al Hilal
E. Sánchez,Mexico,78,CM,
N. Rovella,Italy,79,CDM,Lazio
K. Taylor,Netherlands,78,CM,Ajax
Ronaldo Cabrais,Brazil,83,CAM,Botafogo
M. Folorunsho,Italy,75,CAM,Cagliari
R. Christie,Scotland,79,CDM,AFC Bournemouth
Fornals,Spain,79,CDM,Real Betis Balompié
Lucas Vázquez,Spain,77,RB,Bayer 04 Leverkusen
A. Bah,Denmark,78,RB,SL Benfica
A. Golovin,Russia,79,LM,AS Monaco
Gerson Armão,Brazil,78,LB,Internacional
Rodinei,Brazil,79,RB,Olympiacos FC
S. Lobotka,Slovakia,83,CM,Napoli
D. Zakaria,Switzerland,82,CDM,AS Monaco
S. Ascacíbar,Argentina,78,CDM,Estudiantes de La Plata
M. Damsgaard,Denmark,80,CAM,Brentford
E. Skhiri,Tunisia,80,CDM,Eintracht Frankfurt
F. Schär,Switzerland,82,CB,Newcastle United
N. Schlotterbeck,Germany,85,CB,Borussia Dortmund
L. Messi,Argentina,86,RW,Inter Miami
R. Rodríguez,Switzerland,74,LB,Real Betis Balompié
E. Buendía,Argentina,77,CAM,Aston Villa
L. Suárez,Uruguay,79,ST,Inter Miami
A. Gordon,England,83,LW,Newcastle United
T. Lemar,France,77,CM,Girona FC
V. van Dijk,Netherlands,90,CB,Liverpool
R. Perraud,France,74,LB,Lille OSC
C. Jones,England,80,CAM,Liverpool
M. Pašalić,Croatia,80,CM,Atalanta
N. Nández,Uruguay,76,CM,Al Qadsiah FC
Ruiz de Galarreta,Spain,80,CDM,Athletic Club
A. Gomes,England,76,CAM,Olympique de Marseille
O. Tufan,Turkey,73,CDM,Trabzonspor
A. Engels,Belgium,75,CM,Celtic
D. Udogie,Italy,80,LB,Tottenham Hotspur
Mauro Júnior,Brazil,79,LB,PSV
F. Kadıoğlu,Turkey,79,RB,Brighton & Hove Albion
G. Galoppo,Argentina,74,CM,River Plate
T. Pobega,Italy,74,CM,Bologna
Y. Adli,France,78,CDM,Al Shabab
J. Lerma,Colombia,77,CDM,Crystal Palace
R. Baku,Germany,78,RM,RB Leipzig
Evander,Brazil,79,CAM,FC Cincinnati
L. Majer,Croatia,78,CM,VfL Wolfsburg
O. Marmoush,Egypt,84,ST,Manchester City
A. Claude-Maurice,France,77,CAM,FC Augsburg
R. Bentancur,Uruguay,80,CDM,Tottenham Hotspur
L. Da Cunha,France,74,CDM,Como
Pepelu,Spain,77,CM,Valencia CF
O. Zinchenko,Ukraine,77,LB,Nottingham Forest
J. Stage,Denmark,78,CM,SV Werder Bremen
T. Weah,United States,77,RM,Olympique de Marseille
İ. Kahveci,Turkey,78,RW,Fenerbahçe SK
L. Martínez,Argentina,81,CB,Manchester United
P. Pogba,France,79,CM,AS Monaco
M. Uribe,Colombia,76,CM,Atlético Nacional
T. Partey,Ghana,83,CDM,Villarreal CF
Renan Lodi,Brazil,78,LB,Al Hilal
J. Brownhill,England,76,CDM,Al Shabab
L. Robertone,Argentina,72,CM,UD Almería
M. Mittelstädt,Germany,82,LB,VfB Stuttgart
Guga Rodrigues,Portugal,74,CM,Beijing Guoan
Gayà,Spain,81,LB,Valencia CF
V. Pavlidis,Greece,82,ST,SL Benfica
M. Meza,Argentina,75,CM,River Plate
E. Gómez,Argentina,73,LB,Vélez Sarsfield
L. Hall,England,80,LB,Newcastle United
Carlos Soler,Spain,77,CM,Real Sociedad
N. Gudelj,Serbia,77,CB,Sevilla FC
B. Heynen,Belgium,78,CDM,KRC Genk
J. Cuadrado,Colombia,76,RM,Pisa
Cristiano Ronaldo,Portugal,85,ST,Al Nassr
R. Aliendro,Argentina,74,CM,Vélez Sarsfield
K. Dewsbury-Hall,England,77,CM,Everton
C. Zafeiris,Greece,75,CM,SK Slavia Praha
D. Cataldi,Italy,77,CDM,Lazio
Andeson Trigo,Brazil,77,LB,Fluminense
M. Götze,Germany,82,CM,Eintracht Frankfurt
P. Frankowski,Poland,75,RB,Stade Rennais FC
I. Toney,England,81,ST,Al Ahli SFC
M. Casco,Argentina,74,LB,River Plate
Diogo Dalot,Portugal,79,RB,Manchester United
M. Sanson,France,76,CM,OGC Nice
Ricardo Horta,Portugal,81,CAM,Sporting Clube de Braga
C. De Ketelaere,Belgium,82,CAM,Atalanta
J. Bowen,England,83,RM,West Ham United
D. Núñez,Uruguay,79,ST,Al Hilal
A. Castro-Montes,Belgium,77,RM,1. FC Köln
A. Colpani,Italy,78,RM,Monza
J. Frimpong,Netherlands,83,RB,Liverpool
A. Isak,Sweden,88,ST,Liverpool
Álvaro Carreras,Spain,80,LB,Real Madrid
C. Aquino,Argentina,77,CAM,Colo-Colo
M. Politano,Italy,81,RW,Napoli
Marlon Dorrão,Brazil,68,CDM,Vitória
Pedro Díaz,Spain,75,CM,Rayo Vallecano
M. Bero,Slovakia,74,CM,VfL Bochum 1848
A. Bakasetas,Greece,76,CAM,Panathinaikos FC
Nuno Tavares,Portugal,78,LB,Lazio
K. Benzema,France,85,ST,Al Ittihad
S. Amrabat,Morocco,78,CDM,Real Betis Balompié
S. Szymański,Poland,78,CAM,Fenerbahçe SK
R. Sánchez,Paraguay,75,CM,Racing Club
K. Castaño,Colombia,77,CM,River Plate
P. Hrošovský,Slovakia,76,CM,KRC Genk
S. Colombatto,Argentina,73,CDM,Real Oviedo
D. Sow,Switzerland,76,CM,Sevilla FC
A. Jashari,Switzerland,77,CDM,AC Milan
Chiquinho,Portugal,78,CM,Olympiacos FC
M. Amoura,Algeria,80,ST,VfL Wolfsburg
Oyarzabal,Spain,82,ST,Real Sociedad
Renato Sanches,Portugal,75,CM,Panathinaikos FC
Y. Fofana,France,81,CDM,AC Milan
G. Rutter,France,77,CAM,Brighton & Hove Albion
B. Cristante,Italy,80,CM,Roma
Gerard Moreno,Spain,81,ST,Villarreal CF
J. Murphy,England,81,RW,Newcastle United
P. Sarr,Senegal,79,CM,Tottenham Hotspur
G. Montiel,Argentina,78,RB,River Plate
J. Juranović,Croatia,75,RB,1. FC Union Berlin
R. Hatate,Japan,76,CM,Celtic
Fabinho,Brazil,82,CDM,Al Ittihad
V. Osimhen,Nigeria,87,ST,Galatasaray SK
S. Lukić,Serbia,78,CDM,Fulham FC
M. Kudus,Ghana,80,RW,Tottenham Hotspur
A. Stach,Germany,79,CDM,Leeds United
A. Barák,Czech Republic,75,CM,Sampdoria
Tozé,Portugal,75,CM,Al Riyadh
M. Weiser,Germany,78,RB,SV Werder Bremen
R. Orsolini,Italy,82,RM,Bologna
D. Machado,Colombia,76,LB,RC Lens
L. Cook,England,79,CDM,AFC Bournemouth
N. Mazraoui,Morocco,80,RB,Manchester United
T. Meunier,Belgium,76,RB,Lille OSC
P. Højbjerg,Denmark,82,CDM,Olympique de Marseille
Unai López,Spain,76,CM,Rayo Vallecano
Aitor Ruibal,Spain,77,RB,Real Betis Balompié
Dani Ceballos,Spain,81,CM,Real Madrid
R. Reitz,Germany,77,CM,Borussia Mönchengladbach
Wagner Laranjo,Brazil,77,CDM,Palmeiras
O. Dorley,Liberia,78,CDM,SK Slavia Praha
Welington Dano,Brazil,81,LB,Atlético Mineiro
H. Boudaoui,Algeria,77,CM,OGC Nice
I. Maatsen,Netherlands,79,LB,Aston Villa
L. Camara,Senegal,77,CM,AS Monaco
A. Doucouré,Mali,74,CAM,NEOM SC
P. Berg,Norway,77,CDM,FK Bodø/Glimt
L. Sané,Germany,82,RM,Galatasaray SK
Kévin Rodrigues,Portugal,75,LB,Gaziantep FK
Y. Bissouma,Mali,78,CDM,Tottenham Hotspur
Marquinhos,Brazil,87,CB,Paris Saint-Germain
João Mário,Portugal,78,LM,AEK Athens
K. Mainoo,England,77,CM,Manchester United
Á. Di María,Argentina,82,RW,Rosario Central
Nico González,Spain,79,CDM,Manchester City
J. Hofmann,Germany,78,CAM,Bayer 04 Leverkusen
S. Dest,United States,79,RB,PSV
Dani Olmo,Spain,85,CAM,FC Barcelona
Gavi,Spain,83,CM,FC Barcelona
Lee Kang In,South Korea,79,RW,Paris Saint-Germain
N. Raskin,Belgium,77,CDM,Rangers FC
F. Honorat,France,80,RM,Borussia Mönchengladbach
B. André,France,80,CDM,Lille OSC
J. Ramsey,England,78,LM,Newcastle United
Gabriel Martinelli,Brazil,81,LW,Arsenal
R. Aït-Nouri,Algeria,81,LB,Manchester City
X. Schlager,Austria,80,CDM,RB Leipzig
João Félix,Portugal,79,CAM,Al Nassr
Wesley,Brazil,77,RB,Roma
J. Rothwell,England,74,CDM,Rangers FC
D. Klaassen,Netherlands,77,CM,Ajax
Z. Youssouf,Comoros,77,CDM,Al Fateh
Pablo Barrios,Spain,82,CM,Atlético Madrid
G. Til,Netherlands,77,CAM,PSV
R. Faivre,France,76,RM,Al Taawoun FC
Javi Galán,Spain,80,LB,Atlético Madrid
H. Vanaken,Belgium,80,CAM,Club Brugge KV
T. Savanier,France,75,CAM,Montpellier HSC
P. Estupiñán,Ecuador,79,LB,AC Milan
L. Spinazzola,Italy,78,LB,Napoli
Javi Guerra,Spain,77,CM,Valencia CF
Antony,Brazil,81,RW,Real Betis Balompié
Zubeldia,Spain,78,CB,Real Sociedad
Éder Aldralho,Brazil,72,RM,Vasco da Gama
M. Darmian,Italy,81,RB,Inter
Rosival Dourado,Brazil,81,CDM,Corinthians
O. Ntcham,Cameroon,73,CDM,Samsunspor
N. Vlašić,Croatia,79,CAM,Torino
Q. Laçi,Albania,74,CM,Çaykur Rizespor
M. Lewis-Skelly,England,78,LB,Arsenal
S. Fofana,Ivory Coast,77,CM,Stade Rennais FC
J. Ward-Prowse,England,77,CM,West Ham United
É. Banega,Argentina,77,CM,Newell's Old Boys
F. Bustos,Argentina,76,RB,River Plate
H. Morita,Japan,79,CM,Sporting CP
Gustavo Sá,Portugal,74,CAM,Famalicão
A. Varela,Argentina,79,CDM,FC Porto
R. Freuler,Switzerland,81,CDM,Bologna
K. Mitoma,Japan,82,LM,Brighton & Hove Albion
S. Zuber,Switzerland,74,ST,FC Zürich
T. Vilhena,Netherlands,72,CM,Panathinaikos FC
M. Depay,Netherlands,81,ST,
Iago Aspas,Spain,83,RW,RC Celta
O. Aina,Nigeria,80,RB,Nottingham Forest
M. Wanitzek,Germany,76,CM,Karlsruher SC
L. Blas,France,77,RM,Stade Rennais FC
R. Mahrez,Algeria,84,RM,Al Ahli SFC
Iñigo Martínez,Spain,85,CB,Al Nassr
M. Camara,France,78,CM,Stade Rennais FC
J. Brandt,Germany,83,CAM,Borussia Dortmund
A. Kramarić,Croatia,81,CAM,TSG 1899 Hoffenheim
J. Koundé,France,87,RB,FC Barcelona
C. Roldan,United States,74,CDM,Seattle Sounders FC
S. Steijn,Netherlands,78,CAM,Feyenoord
Y. Musah,United States,74,CM,Atalanta
P. Lees-Melou,France,78,CDM,Paris FC
A. Král,Czech Republic,74,CM,1. FC Union Berlin
M. Rashica,Kosovo,76,RM,Beşiktaş JK
N. Bentaleb,Algeria,77,CDM,Lille OSC
N. Molina,Argentina,79,RB,Atlético Madrid
A. Thomasson,France,77,CM,RC Lens
A. Iwobi,Nigeria,80,LM,Fulham FC
F. Bernardeschi,Italy,77,RM,Bologna
M. Cornet,Ivory Coast,74,LM,Genoa
D. Berardi,Italy,82,RW,Sassuolo
Richarlison,Brazil,78,ST,Tottenham Hotspur
Portu,Spain,76,RM,Girona FC
D. Kamada,Japan,77,CM,Crystal Palace
O. Yokuşlu,Turkey,76,CDM,Trabzonspor
L. Shaw,England,79,CB,Manchester United
M. Braida,Argentina,76,LM,Boca Juniors
Renato Veiga,Portugal,76,CB,Villarreal CF
Nico Williams,Spain,86,LM,Athletic Club
P. Bucha,Czech Republic,75,CM,FC Cincinnati
H. Larsson,Sweden,78,CM,Eintracht Frankfurt
S. Schrijvers,Belgium,74,CM,Oud-Heverlee Leuven
Guilherme Sityá,Brazil,76,LB,Konyaspor
J. Grealish,England,80,LW,Everton
Vini Jr.,Brazil,89,LW,Real Madrid
G. Kochorashvili,Georgia,74,CM,Sporting CP
Cucho,Colombia,78,ST,Real Betis Balompié
A. Rațiu,Romania,79,RB,Rayo Vallecano
M. Mount,England,77,CAM,Manchester United
R. Calafiori,Italy,78,LB,Arsenal
K. Havertz,Germany,82,ST,Arsenal
R. Marin,Romania,74,CM,AEK Athens
Adrián Bernabé,Spain,74,CDM,Parma
J. Bellegarde,Haiti,75,CAM,Wolverhampton Wanderers
S. Driussi,Argentina,77,ST,River Plate
A. Marušić,Montenegro,78,RB,Lazio
A. Castro,Argentina,73,LM,Estudiantes de La Plata
V. Rongier,France,79,CDM,Stade Rennais FC
H. Aouar,Algeria,77,CAM,Al Ittihad
V. Lazaro,Austria,76,RM,Torino
Casemiro,Brazil,80,CDM,Manchester United
M. Wieffer,Netherlands,78,CDM,Brighton & Hove Albion
Jauregizar,Spain,78,CM,Athletic Club
A. Stiller,Germany,83,CDM,VfB Stuttgart
A. Browne,Republic of Ireland,72,CM,Middlesbrough
Lee Dong Kyeong,South Korea,75,CAM,Gimcheon Sangmu FC
B. Ndiaye,Senegal,74,CDM,Gaziantep FK
R. Kristensen,Denmark,79,RB,Eintracht Frankfurt
D. Ndoye,Switzerland,79,LM,Nottingham Forest
Pedraza,Spain,75,LB,Villarreal CF
A. Robinson,United States,82,LB,Fulham FC
T. Müller,Germany,80,CAM,Vancouver Whitecaps FC
L. Krejčí,Czech Republic,78,CB,Wolverhampton Wanderers
S. Serdar,Germany,76,CM,Hellas Verona FC
M. Reus,Germany,79,CAM,LA Galaxy
R. Carrera,Argentina,74,CM,Lanús
A. Živković,Serbia,78,RM,PAOK
B. Henrichs,Germany,80,RB,RB Leipzig
A. Masuaku,DR Congo,75,LB,Sunderland
Paulo Bernardo,Portugal,73,CM,Celtic
M. Livaja,Croatia,79,ST,Hajduk Split
R. Pereyra,Argentina,76,CM,AEK Athens
Trincão,Portugal,82,CAM,Sporting CP
Hannibal,Tunisia,74,CM,Burnley
E. Löwen,Germany,74,CM,St. Louis CITY SC
Diego Rico,Spain,77,LB,Getafe CF
R. Bazoer,Netherlands,74,CB,Konyaspor
A. Haidara,Mali,77,CM,RB Leipzig
Daniel Bragança,Portugal,78,CM,Sporting CP
J. Mojica,Colombia,78,LB,RCD Mallorca
A. Zorgane,Algeria,78,CDM,Union Saint-Gilloise
J. Rudoni,England,74,CAM,Coventry City
M. Caqueret,France,77,CM,Como
M. Ozdoev,Russia,74,CM,PAOK
M. Wolf,Germany,75,RB,FC Augsburg
M. Moreno,Argentina,78,CAM,Lanús
N. Fagioli,Italy,77,CM,Fiorentina
C. Goodwin,Australia,73,LM,Adelaide United
Lee Jae Sung,South Korea,77,CAM,1. FSV Mainz 05
N. Lang,Netherlands,80,LW,Napoli
P. Gueye,Senegal,78,CM,Villarreal CF
J. Moder,Poland,75,CM,Feyenoord
O. Duda,Slovakia,75,CM,Al Ettifaq
A. Tanaka,Japan,76,CDM,Leeds United
Gabriel Jesus,Brazil,80,ST,Arsenal
Guruzeta,Spain,79,ST,Athletic Club
J. Willock,England,76,CM,Newcastle United
A. Pavlović,Germany,79,CDM,FC Bayern München
B. Romero,Argentina,74,ST,Vélez Sarsfield
João Gomes,Brazil,78,CDM,Wolverhampton Wanderers
I. Saibari,Morocco,79,CAM,PSV
M. Wittek,Germany,73,LB,VfL Bochum 1848
A. Maitland-Niles,England,77,RB,Olympique Lyonnais
N. Domínguez,Argentina,79,CDM,Nottingham Forest
Emerson,Italy,77,LB,Olympique de Marseille
K. Fortounis,Greece,80,CAM,Al Khaleej
Costinha,Portugal,75,RB,Olympiacos FC
N. Moro,Croatia,75,CDM,Bologna
André Horta,Portugal,75,CM,UD Almería
M. Vecino,Uruguay,77,CM,Lazio
J. Bellingham,England,74,CM,Borussia Dortmund
T. Almada,Argentina,79,CAM,Atlético Madrid
M. Ryneš,Czech Republic,73,LM,Sparta Praha
V. Castellanos,Argentina,80,ST,Lazio
D. Bouanga,Gabon,79,LW,Los Angeles FC
Edu Expósito,Spain,75,CAM,RCD Espanyol
Clinton Mata,Angola,77,CB,Olympique Lyonnais
G. Kondogbia,Central African Republic,78,CB,Olympique de Marseille
Ferran Torres,Spain,83,LW,FC Barcelona
D. Köhn,Germany,75,LB,1. FC Union Berlin
C. Højer,Denmark,73,LB,Çaykur Rizespor
N. Seiwald,Austria,77,CDM,RB Leipzig
Dodô,Brazil,78,RB,Fiorentina
A. Pléa,France,78,ST,PSV
G. Martirena,Uruguay,75,RB,Racing Club
Chimy Ávila,Argentina,74,RM,Real Betis Balompié
K. Zenón,Argentina,75,LM,Boca Juniors
Palhinha,Portugal,83,CDM,Tottenham Hotspur
F. Chiesa,Italy,81,RM,Liverpool
K. Tsimikas,Greece,77,LB,Roma
X. Shaqiri,Switzerland,78,CAM,FC Basel 1893
Jorge Andrão,Brazil,79,CDM,Fluminense
A. Johnston,Canada,78,RB,Celtic
